"","NEIGHBORHOOD","SALE.DATE","SALE.PRICE","YearMonth"
"1","ALPHABET CITY",2017-03-10,499000,2017-03-01
"2","ALPHABET CITY",2017-06-09,529500,2017-06-01
"3","ALPHABET CITY",2017-07-14,423000,2017-07-01
"4","ALPHABET CITY",2017-03-16,501000,2017-03-01
"5","ALPHABET CITY",2016-09-01,450000,2016-09-01
"6","ALPHABET CITY",2017-08-17,510000,2017-08-01
"7","ALPHABET CITY",2017-08-30,350000,2017-08-01
"8","ALPHABET CITY",2017-01-30,350000,2017-01-01
"9","ALPHABET CITY",2017-07-07,404000,2017-07-01
"10","ALPHABET CITY",2017-06-21,535000,2017-06-01
"11","ALPHABET CITY",2017-08-04,1400000,2017-08-01
"12","ALPHABET CITY",2017-01-09,866000,2017-01-01
"13","ALPHABET CITY",2017-04-18,355000,2017-04-01
"14","ALPHABET CITY",2017-08-28,805000,2017-08-01
"15","ALPHABET CITY",2017-05-10,475000,2017-05-01
"16","ALPHABET CITY",2016-12-02,450000,2016-12-01
"17","ALPHABET CITY",2017-01-31,450000,2017-01-01
"18","ALPHABET CITY",2017-06-28,810000,2017-06-01
"19","ALPHABET CITY",2017-08-24,3e+05,2017-08-01
"20","ALPHABET CITY",2017-08-30,3e+05,2017-08-01
"21","ALPHABET CITY",2017-06-27,579000,2017-06-01
"22","ALPHABET CITY",2017-03-17,1500000,2017-03-01
"23","ALPHABET CITY",2017-01-17,512000,2017-01-01
"24","ALPHABET CITY",2017-01-11,410000,2017-01-01
"25","ALPHABET CITY",2017-04-21,5e+05,2017-04-01
"26","ALPHABET CITY",2017-06-29,510000,2017-06-01
"27","ALPHABET CITY",2016-10-05,475000,2016-10-01
"28","ALPHABET CITY",2017-02-02,789019,2017-02-01
"29","ALPHABET CITY",2017-04-13,425000,2017-04-01
"30","ALPHABET CITY",2017-06-29,490000,2017-06-01
"31","ALPHABET CITY",2017-06-06,409000,2017-06-01
"32","ALPHABET CITY",2017-07-17,415000,2017-07-01
"33","ALPHABET CITY",2016-12-06,420000,2016-12-01
"34","ALPHABET CITY",2017-07-13,435000,2017-07-01
"35","ALPHABET CITY",2017-05-17,575000,2017-05-01
"36","ALPHABET CITY",2017-08-28,605000,2017-08-01
"37","ALPHABET CITY",2017-05-31,799000,2017-05-01
"38","ALPHABET CITY",2017-07-12,8e+05,2017-07-01
"39","ALPHABET CITY",2016-12-14,410000,2016-12-01
"40","ALPHABET CITY",2017-05-03,1475000,2017-05-01
"41","ALPHABET CITY",2016-09-29,335000,2016-09-01
"42","ALPHABET CITY",2017-08-07,490000,2017-08-01
"43","ALPHABET CITY",2017-01-20,750000,2017-01-01
"44","ALPHABET CITY",2017-02-23,780000.000000001,2017-02-01
"45","ALPHABET CITY",2017-08-09,380000,2017-08-01
"46","ALPHABET CITY",2017-04-07,430000,2017-04-01
"47","ALPHABET CITY",2017-04-13,499900,2017-04-01
"48","ALPHABET CITY",2017-05-11,1400000,2017-05-01
"49","ALPHABET CITY",2016-09-29,694000.000000001,2016-09-01
"50","ALPHABET CITY",2016-12-30,619999.999999999,2016-12-01
"51","ALPHABET CITY",2016-09-21,762669,2016-09-01
