"","ZIP.CODE","ENCOD_ZIP.CODE","BOROUGH","ENCOD_BOROUGH","LOT","BLOCK","NEIGHBORHOOD","ENCOD_NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","ENCOD_BUILDING.CLASS.CATEGORY"
"1","0",5.94108651467774,"Bronx",5.61804809671209,246,5404,"SCHUYLERVILLE/PELHAM BAY",5.68349148798893," TWO FAMILY DWELLINGS                    ",5.81291335664286
"2","0",5.94108651467774,"Brooklyn",5.85295245877229,1380,2348,"WILLIAMSBURG-NORTH",5.9912260756925,"CONDO",5.88366143515362
"3","0",5.94108651467774,"Manhattan",5.91115760873998,3799,16,"TRIBECA",5.96848294855393,"CONDO",5.88366143515362
"4","0",5.94108651467774,"Queens",5.68841982200271,94,15720,"FAR ROCKAWAY",5.60529301245258," ONE FAMILY DWELLINGS                    ",5.69897000433602
"5","0",5.94108651467774,"Queens",5.68841982200271,1231,14240,"HOWARD BEACH",5.57403126772772," TWO FAMILY DWELLINGS                    ",5.81291335664286
"6","0",5.94108651467774,"Queens",5.68841982200271,1062,3258,"FOREST HILLS",5.56820172406699,"CONDO",5.88366143515362
"7","10001",5.9566485792052,"Manhattan",5.91115760873998,1034,778,"FASHION",5.98900461569854,"CONDO",5.88366143515362
"8","10001",5.9566485792052,"Manhattan",5.91115760873998,16,732,"JAVITS CENTER",5.80955971463527,"COOP",5.60745502321467
"9","10002",5.88930170250631,"Manhattan",5.91115760873998,1102,422,"LOWER EAST SIDE",5.89208567962578,"CONDO",5.88366143515362
"10","10002",5.88930170250631,"Manhattan",5.91115760873998,120,331,"LOWER EAST SIDE",5.89208567962578,"COOP",5.60745502321467
"11","10003",5.96211379063006,"Manhattan",5.91115760873998,1002,571,"GREENWICH VILLAGE-CENTRAL",5.99782308074573,"CONDO",5.88366143515362
"12","10003",5.96211379063006,"Manhattan",5.91115760873998,19,921,"KIPS BAY",6.02325245963371,"COOP",5.60745502321467
"13","10004",5.88930170250631,"Manhattan",5.91115760873998,9024,16,"TRIBECA",5.96848294855393,"CONDO",5.88366143515362
"14","10004",5.88930170250631,"Manhattan",5.91115760873998,1,28,"FINANCIAL",5.99343623049761,"COOP",5.60745502321467
"15","10005",6.06284999845185,"Manhattan",5.91115760873998,1376,44,"FINANCIAL",5.99343623049761,"CONDO",5.88366143515362
"16","10005",6.06284999845185,"Manhattan",5.91115760873998,8,64,"FINANCIAL",5.99343623049761,"COOP",5.60745502321467
"17","10006",6.055378331375,"Manhattan",5.91115760873998,1243,53,"FINANCIAL",5.99343623049761,"CONDO",5.88366143515362
"18","10007",6.06613625019438,"Manhattan",5.91115760873998,1683,142,"TRIBECA",5.96848294855393,"CONDO",5.88366143515362
"19","10009",5.90281838315297,"Manhattan",5.91115760873998,1002,437,"EAST VILLAGE",5.91082225877111,"CONDO",5.88366143515362
"20","10009",5.90281838315297,"Manhattan",5.91115760873998,31,431,"EAST VILLAGE",5.91082225877111,"COOP",5.60745502321467
"21","10010",5.99069026589056,"Manhattan",5.91115760873998,1108,928,"KIPS BAY",6.02325245963371,"CONDO",5.88366143515362
"22","10010",5.99069026589056,"Manhattan",5.91115760873998,1,930,"KIPS BAY",6.02325245963371,"COOP",5.60745502321467
"23","10011",5.95424250943933,"Manhattan",5.91115760873998,1074,618,"GREENWICH VILLAGE-WEST",5.95424250943933,"CONDO",5.88366143515362
"24","10011",5.95424250943933,"Manhattan",5.91115760873998,47,609,"GREENWICH VILLAGE-WEST",5.95424250943933,"COOP",5.60745502321467
"25","10012",5.86480509960233,"Manhattan",5.91115760873998,1004,517,"SOHO",5.87215627274829,"CONDO",5.88366143515362
"26","10012",5.86480509960233,"Manhattan",5.91115760873998,36,519,"SOHO",5.87215627274829,"COOP",5.60745502321467
"27","10013",6.14457420760962,"Manhattan",5.91115760873998,1002,225,"TRIBECA",5.96848294855393,"CONDO",5.88366143515362
"28","10013",6.14457420760962,"Manhattan",5.91115760873998,26,219,"TRIBECA",5.96848294855393,"COOP",5.60745502321467
"29","10014",5.94487040295385,"Manhattan",5.91115760873998,69,585,"GREENWICH VILLAGE-WEST",5.95424250943933," ONE FAMILY DWELLINGS                    ",5.69897000433602
"30","10014",5.94487040295385,"Manhattan",5.91115760873998,1302,624,"GREENWICH VILLAGE-WEST",5.95424250943933,"CONDO",5.88366143515362
"31","10014",5.94487040295385,"Manhattan",5.91115760873998,29,520,"SOHO",5.87215627274829,"COOP",5.60745502321467
"32","10016",5.89486965674525,"Manhattan",5.91115760873998,1002,916,"MURRAY HILL",5.86864443839483,"CONDO",5.88366143515362
"33","10016",5.89486965674525,"Manhattan",5.91115760873998,35,918,"MURRAY HILL",5.86864443839483,"COOP",5.60745502321467
"34","10017",5.77085201164214,"Manhattan",5.91115760873998,1106,1342,"MIDTOWN EAST",5.83569057149243,"CONDO",5.88366143515362
"35","10017",5.77085201164214,"Manhattan",5.91115760873998,12,1361,"MIDTOWN EAST",5.83569057149243,"COOP",5.60745502321467
"36","10018",6.01911131918436,"Manhattan",5.91115760873998,1027,734,"JAVITS CENTER",5.80955971463527,"CONDO",5.88366143515362
"37","10018",6.01911131918436,"Manhattan",5.91115760873998,69,841,"FASHION",5.98900461569854,"COOP",5.60745502321467
